Company,Date,Amount,TFTD*,Series,Lead Investor,Coverage
Knock,2/18/2021,"$20,000,000","$47,000,000",,Fifth Wall,https://www.geekwire.com/2021/knock-raises-20m-pandemic-drives-demand-software-used-apartment-property-managers/
Ally,2/17/2021,"$50,000,000","$76,000,000",C,"Green Oaks Capital, Tiger Global, Madrona Venture Group",https://www.geekwire.com/2021/ally-raises-50m-remote-work-drives-demand-okr-collaboration-software/
Notch Therapeutics,2/17/2021,"$85,000,000","$91,000,000",A,,https://www.geekwire.com/2021/notch-therapeutics-raises-85m-cancer-treatments-plans-open-seattle-location/
HDT Bio Corp,2/16/2021,"$3,000,000",,Seed,Zoi Capital,https://www.geekwire.com/2020/seattle-startup-hdt-bio-raises-3m-support-development-covid-19-vaccine/
Pivotal Commware,2/11/2021,"$50,000,000","$90,000,000",C,Tracker Capital Management,https://www.geekwire.com/2021/backing-bill-gates-pivotal-commware-raises-50m-5g-products/
Iteratively,2/4/2021,"$5,400,000",,,Gradient Ventures,https://www.geekwire.com/2021/googles-ai-focused-venture-fund-leads-5-4m-investment-seattle-analytics-startup-iteratively/
Insent,2/4/2021,"$2,000,000",,Seed,Emergent Ventures,https://www.geekwire.com/2021/techstars-seattle-grad-insent-raises-2m-take-drift-intercom-b2b-marketing-chatbot/
Edify,2/2/2021,"$1,635,000",,Seed,Flying Fish Ventures,https://www.getedify.co/resources/press-release-edify-raises-1-635m-in-initial-funding-round
Brightloom,2/1/2021,"$15,000,000",,,"Tao Capital Partners, Valor Siren Ventures",https://www.geekwire.com/2021/led-ex-starbucks-digital-chief-seattle-startup-brightloom-raises-15m-customer-data-platform/
Tanium,1/28/2021,"$150,000,000","$1,000,000,000",,Tanium announced Thursday that it sold $150 million inOntario Teachers’ Pension Plan,https://www.geekwire.com/2021/cybersecurity-giant-tanium-scores-150-million-following-hq-move-seattle-area/
Usermind,1/26/2021,"$14,000,000","$60,000,000",C,WestRiver Group,https://www.geekwire.com/2021/usermind-raises-14m-seattle-marketing-startup-bounces-back-digital-acceleration-shift/
Aardvark Labs,1/22/2021,"$3,500,000",,Seed,,https://www.geekwire.com/2021/seattle-entrepreneur-todd-hooper-raises-cash-mysterious-new-startup-aardvark-labs/
Brightly,1/22/2021,"$1,000,000",,Seed,"Tacoma Venture Fund, Keeler Investments, Female Founders Alliance",https://www.geekwire.com/2021/brightly-raises-1m-eco-friendly-e-commerce-content-platform-following-goop-playbook/
